date,amount,direction,type,sell_amount
8/14/2012,0,sell USD,min price,
8/15/2012,0,sell USD,min price,
8/16/2012,0,sell USD,min price,
8/17/2012,0,sell USD,min price,
8/20/2012,0,sell USD,min price,
8/21/2012,0,sell USD,min price,
8/22/2012,0,sell USD,min price,
8/23/2012,0,sell USD,min price,
8/24/2012,0,sell USD,min price,
8/27/2012,0,sell USD,min price,
8/28/2012,0,sell USD,min price,
8/29/2012,0,sell USD,min price,
8/30/2012,0,sell USD,min price,
8/31/2012,0,sell USD,min price,
9/3/2012,0,sell USD,min price,
9/4/2012,0,sell USD,min price,
9/5/2012,0,sell USD,min price,
9/6/2012,0,sell USD,min price,
9/7/2012,0,sell USD,min price,
9/10/2012,0,sell USD,min price,
9/11/2012,0,sell USD,min price,
9/12/2012,0,sell USD,min price,
9/13/2012,0,sell USD,min price,
9/14/2012,0,sell USD,min price,
9/17/2012,0,sell USD,min price,
9/18/2012,0,sell USD,min price,
9/19/2012,0,sell USD,min price,
9/20/2012,0,sell USD,min price,
9/21/2012,0,sell USD,min price,
9/24/2012,0,sell USD,min price,
9/25/2012,0,sell USD,min price,
9/26/2012,0,sell USD,min price,
9/27/2012,0,sell USD,min price,
9/28/2012,0,sell USD,min price,
10/1/2012,0,sell USD,min price,
10/2/2012,0,sell USD,min price,
10/3/2012,0,sell USD,min price,
10/4/2012,0,sell USD,min price,
10/5/2012,0,sell USD,min price,
10/8/2012,0,sell USD,min price,
10/9/2012,0,sell USD,min price,
10/10/2012,0,sell USD,min price,
10/11/2012,0,sell USD,min price,
10/12/2012,0,sell USD,min price,
10/15/2012,0,sell USD,min price,
10/16/2012,0,sell USD,min price,
10/17/2012,0,sell USD,min price,
10/18/2012,0,sell USD,min price,
10/19/2012,0,sell USD,min price,
10/22/2012,0,sell USD,min price,
10/23/2012,0,sell USD,min price,
10/24/2012,0,sell USD,min price,
10/25/2012,0,sell USD,min price,
10/26/2012,0,sell USD,min price,
10/29/2012,0,sell USD,min price,
10/30/2012,0,sell USD,min price,
10/31/2012,0,sell USD,min price,
11/1/2012,0,sell USD,min price,
11/5/2012,0,sell USD,min price,
